Name,Nationality,Occupation,Affiliation,Ajah,Build,Clan,Current.status,Date.of.birth,Date.of.death,Eye.color,First.appeared,First.mentioned,Gender,Hair.color,Height,Last.appeared,Last.mentioned,Race,Rank,Sept,Society,Title,Weight
Mari,Andoran,Serving girl,NA,NA,NA,NA,Alive,NA,NA,NA,TEOTW:14,NA,Female,NA,NA,TEOTW:14,NA,NA,NA,NA,NA,NA,NA
Marille,Seanchan,NA,NA,NA,Stout,NA,Alive,NA,NA,NA,KOD:14,WH:8,Female,NA,NA,TOM:33,NA,NA,NA,NA,NA,NA,NA
Marillin Gemalphin,Andoran,Dreadlord,Black Ajah,Brown Ajah,Skinny,NA,Unknown,848 NE,NA,"Blue, dreamy",TSR:38,TDR:25,Female,"Brown, lifeless",NA,KOD:33,TOM:24,NA,Aes Sedai,NA,NA,NA,NA
Marin al'Vere,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TEOTW:2,TEOTW:1,Female,Graying,NA,TSR:56,AMOL:1,NA,NA,NA,NA,Women's Circle Member,Slender
Marinna,Aiel,Wise One apprentice,NA,NA,Small,NA,Foreseen,NA,NA,NA,TOM:49,NA,Female,NA,NA,TOM:49,NA,NA,NA,NA,NA,Child of the Dragon,NA
Marisa Ahan,Andoran,NA,White Tower,NA,NA,NA,Alive,NA,NA,NA,LOC:10,NA,Female,NA,NA,LOC:11,TPOD:30,NA,Novice,NA,NA,NA,NA
Marisa Ayellin,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,NA,TGH:36,Female,NA,NA,NA,TGH:36,NA,NA,NA,NA,NA,NA
Marith Jaen,Unknown nationality,NA,White Tower,Blue Ajah,NA,NA,Dead,700 NE,988 NE,NA,NA,ACOS:Prologue,Female,NA,NA,NA,ACOS:8,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Marith Riven,Murandian,NA,The Dragon Reborn,Brown Ajah,NA,NA,Alive,NA,NA,NA,ACOS:1,TGH:45,Female,NA,NA,ACOS:1,NA,NA,Aes Sedai,NA,NA,NA,NA
Marli Noichin,Seanchan,Sul'dam,NA,NA,Plump,NA,Alive,NA,NA,Dark,WH:8,NA,Female,NA,NA,WH:8,KOD:14,NA,NA,NA,NA,NA,NA
Marline,Aiel,Wise One,Car'a'carn,NA,NA,Unknown clan,Alive,NA,NA,Purple,TPOD:9,NA,Female,Dark,Tall,KOD:29,NA,NA,NA,Unknown sept,NA,NA,NA
Marris Thornhill,Andoran,NA,Black Ajah,Brown Ajah,Plump,NA,Unknown,NA,NA,NA,COT:Prologue,TDR:13,Female,NA,NA,COT:Prologue,KOD:Prologue,NA,Aes Sedai,NA,NA,NA,NA
Marsial,Unknown nationality,NA,White Tower,NA,NA,NA,Alive,NA,NA,NA,TGS:38,NA,Female,NA,NA,TGS:38,NA,NA,Novice,NA,NA,NA,NA
Marthea,Aiel,NA,Shaido,NA,NA,Shaido,Dead,NA,1000 NE,NA,NA,TGS:21,Female,NA,NA,NA,TGS:22,NA,NA,Unknown sept,Far Dareis Mai,NA,NA
Marthera,Unknown nationality,Damane,Seanchan,Green Ajah,NA,NA,Alive,NA,NA,NA,NA,TGS:40,Female,NA,NA,NA,TGS:40,NA,Aes Sedai,NA,NA,NA,NA
Martna Baily,Murandian,Baker (possibly),NA,NA,NA,NA,Unknown,NA,NA,NA,NA,TGS 28,Female,NA,NA,TGS 28,NA,NA,NA,NA,NA,NA,NA
Marya Somares,Tairen,NA,White Tower,Gray Ajah,slender,NA,Dead,NA,NA,dark,NA,TWORJTWOT,Female,NA,tall,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,NA,NA
Maryl Harke,Unknown nationality,Inventor,School of Cairhien,NA,NA,NA,Alive,NA,NA,NA,NA,WH:Prologue,Female,NA,NA,NA,WH:Prologue,NA,NA,NA,NA,NA,NA
Masalin,Aiel,Wise One,Shaido Aiel,NA,NA,Shaido,Alive,NA,NA,NA,COT:9,NA,Female,Gray,NA,COT:9,NA,NA,NA,Unknown sept,NA,NA,NA
Mashera Donavelle,Unknown nationality,NA,NA,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,ACOS:6,Female,NA,NA,NA,ACOS:6,NA,Aes Sedai,NA,NA,NA,NA
Masuri Sokawa,Arafellin,NA,Perrin Aybara,Brown Ajah,Slim,NA,Alive,935 NE,NA,Dark,LOC:43,LOC:41,Female,NA,NA,AMOL:44,NA,NA,Aes Sedai,NA,NA,NA,NA
Materese,NA,NA,NA,NA,NA,NA,Fictional character,NA,NA,NA,NA,TEOTW:4,Female,NA,NA,NA,NA,NA,NA,NA,NA,Materese the Healer,NA
Matilde,Altaran,Servant,NA,NA,NA,NA,Alive,NA,NA,NA,ACOS:16,NA,Female,NA,NA,NA,ACOS:16,NA,NA,NA,NA,NA,NA
Mavra Mallen,Andoran,Healer,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,NA,TEOTW:16,Female,"Long, Braided",NA,NA,TGH:23,NA,NA,NA,NA,Wisdom,NA
Mayam Colona,Tairen,NA,White Tower,White Ajah,NA,NA,Alive,960 NE,NA,NA,NA,LOC:25,Female,NA,NA,NA,LOC:25,NA,Aes Sedai,NA,NA,NA,NA
Maylin,Altaran,Maid,NA,NA,NA,NA,Alive,NA,NA,NA,ACOS:39,NA,Female,NA,NA,ACOS:39,NA,NA,NA,NA,NA,NA,NA
Mayv,Andoran,NA,House Trakand,NA,NA,NA,Dead,NA,NA,NA,NA,COT:13,Female,NA,NA,NA,COT:13,NA,NA,NA,NA,Lady,NA
Meashan Dubaris,Arad Doman,Merchant,Council of Merchants,NA,NA,NA,Dead,NA,1000 NE,NA,NA,TGS:31,Female,NA,NA,NA,TGS:31,NA,NA,NA,NA,NA,NA
Medanor Eramandos,Illianer,NA,NA,Gray Ajah,NA,NA,Dead,NA,171 NE,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
Medore Damara,Tairen,NA,Cha Faile,NA,NA,NA,Alive,NA,NA,"Bright, blue",WH:6,TSR:2,Female,NA,Tall,KOD:12,NA,NA,NA,NA,NA,Lady,NA
Megana,Aiel,Wise One,Car'a'carn,NA,NA,Unknown clan,Alive,NA,NA,NA,ACOS:3,NA,Female,NA,NA,ACOS:3,NA,NA,NA,Unknown sept,NA,NA,NA
Meidani Eschede,Arafellin,NA,White Tower,Gray Ajah,Slim,NA,Alive,NA,NA,Blue,NS:4,NA,Female,Dark golden,Tall,TGS:39,NA,NA,Aes Sedai,NA,NA,NA,NA
Meilyn Arganya,Unknown nationality,NA,White Tower,White Ajah,NA,NA,Dead,NA,979 NE,Startling blue,NS:5,NS:3,Female,Silver-gray,Tall,NS:8,NS:18,NA,Aes Sedai,NA,NA,NA,NA
Meira,Aiel,Wise One,Sevanna,NA,NA,Shaido,Alive,NA,NA,Blue,ACOS:Prologue,NA,Female,NA,NA,KOD:5,NA,NA,NA,White Cliff,NA,NA,NA
Meise,Aiel,Unknown occupation,NA,NA,NA,Unknown clan,Unknown,NA,NA,NA,NA,TOM:48,Female,NA,Tall,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Melaine,Aiel,Wise One,NA,NA,NA,Goshien,Alive,NA,NA,Green,TSR:23,TDR:39,Female,Golden-red,NA,AMOL:33,NA,NA,NA,Jhirad,NA,NA,NA
Melare,Andoran,NA,The Shadow,Red Ajah,Plump,NA,Unknown,NA,NA,Bright blue,KOD:Prologue,NA,Female,NA,NA,AMOL:14,AMOL:14,NA,Aes Sedai,NA,NA,NA,NA
Melasune,Andoran,NA,NA,NA,NA,NA,Dead,NA,FY 1046,NA,NA,RPG,Female,NA,NA,NA,RPG,NA,Queen,NA,NA,Queen of Andor,NA
Melavaire Someinellin,Cairhienin,NA,White Tower,Gray Ajah,Stout,NA,Alive,NA,NA,NA,KOD:24,NA,Female,Dark with white flecks,Short,KOD:24,NA,NA,Aes Sedai,NA,NA,NA,NA
Melfane Dawlish,Andoran,Midwife,Elayne Trakand,NA,Stout,NA,Alive,NA,NA,Dark,KOD:31,KOD:15,Female,NA,Short,TOM:45,NA,NA,NA,NA,NA,NA,NA
Melindhra,Aiel,NA,The Shadow,NA,NA,Shaido,Dead,NA,999 NE,Pale blue,TFOH:3,NA,Female,"Long, golden",Tall,TFOH:51,TFOH:52,NA,NA,Jumai,Far Dareis Mai,NA,NA
Melitene,Seanchan,Der'sul'dam,NA,NA,NA,NA,Alive,NA,NA,NA,COT:4,NA,Female,"Graying, long",NA,TOM:47,NA,NA,Der'sul'dam,NA,NA,NA,NA
Melli Craeb,Unknown nationality,Tavernkeeper,NA,NA,NA,NA,Alive,NA,NA,NA,TOM:8,NA,Female,Auburn,Short,TOM:8,NA,NA,NA,NA,NA,NA,NA
Melore,Domani,NA,The Kin,NA,NA,NA,Dead,NA,1000 NE,NA,ACOS:37,NA,Female,NA,NA,ACOS:38,NA,NA,Elder,NA,NA,NA,Plump
Melvara,Unknown nationality,NA,Black Ajah,Unknown Ajah,NA,NA,Alive,NA,NA,NA,NA,TGS:39,Female,NA,NA,NA,TGS:39,NA,Aes Sedai,NA,NA,NA,NA
Memara,Unknown nationality,NA,White Tower,Red Ajah,NA,NA,Alive,NA,NA,NA,NA,TFOH:Prologue,Female,NA,NA,NA,TPOD:Prologue,NA,Aes Sedai,NA,NA,NA,NA
Menuki Nachiman,Arafellin,NA,Arafel,NA,NA,NA,Alive,NA,NA,NA,NA,TPOD:Prologue,Female,NA,NA,NA,TPOD:Prologue,NA,NA,NA,NA,NA,NA
Mera,Aiel,NA,NA,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,NA,Female,NA,NA,NA,LOC:27,NA,NA,Unknown sept,Unknown society,NA,NA
Meralda Belmondes,Tairen,NA,Cha Faile,NA,NA,NA,Alive,NA,NA,NA,TPOD:8,NA,Female,NA,Tall,TPOD:8,NA,NA,NA,NA,NA,NA,NA
Meramor,Unknown nationality,NA,White Tower,Yellow Ajah,NA,NA,Alive,NA,NA,NA,NA,TOM:20,Female,NA,NA,NA,TOM:20,NA,Aes Sedai,NA,NA,NA,NA
Merana Ambrey,Andoran,NA,Rebel Aes Sedai,Gray Ajah,NA,NA,Alive,889 NE,NA,NA,LOC:43,LOC:36,Female,NA,NA,KOD:21,NA,NA,Aes Sedai,NA,NA,NA,NA
Merean Redhill,Andoran,NA,Black Ajah,Blue Ajah,Plump,NA,Dead,716 NE,979 NE,NA,NS:5,NS:2,Female,Gray,NA,NS:26,NS:Epilogue,NA,Aes Sedai,NA,NA,Mistress of Novices,NA
Merean Tihomar,Shienaran,NA,Shienar,NA,NA,NA,Dead,NA,NA,NA,NA,The Wheel of Time Roleplaying Game,Female,NA,NA,NA,NA,NA,Queen,NA,NA,Queen of Shienar,NA
Meri,Unknown nationality,Maid,Rebel Aes Sedai,NA,NA,NA,Dead,NA,1000 NE,Dark,ACOS:11,ACOS:8,Female,Dark,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meri do Ahlan a'Conlin,Murandian,NA,Murandy,NA,Plump,NA,Alive,NA,NA,NA,NS:5,NA,Female,NA,NA,NS:5,NA,NA,Lady,NA,NA,Lady,NA
Merici,Unknown nationality,Entertainer,Valan Luca,NA,NA,NA,Alive,NA,NA,NA,WH:15,NA,Female,NA,NA,WH:15,NA,NA,NA,NA,NA,NA,NA
Merilille Ceandevin,Cairhienin,NA,White Tower,Gray Ajah,Slender,NA,Alive,827 NE,NA,"Liquid dark, large",LOC:48,LOC:15,Female,"Black, glossy",Short,COT:11,KOD:17,NA,Aes Sedai,NA,NA,NA,NA
Merise Haindehl,Taraboner,NA,Unaligned sisters,Green Ajah,NA,NA,Alive,798 NE,NA,Blue,WH:13,NA,Female,Dark,Tall,AMOL:37,NA,NA,Aes Sedai,NA,NA,NA,NA
Merya,Saldaean,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TPOD:10,Female,NA,NA,NA,TPOD:10,NA,NA,NA,NA,NA,NA
Merym,Arafellin,NA,White Tower,White Ajah,NA,NA,Alive,NA,NA,NA,NA,KOD:Prologue,Female,NA,NA,NA,KOD:Prologue,NA,Aes Sedai,NA,NA,NA,NA
Mesaana,NA,NA,NA,NA,NA,NA,Brain-dead,Age of Legends,NA,"Blue, big",TSR:47,NA,Female,"Dark, chin-length",NA,TOM:38,TOM:Epilogue,NA,Chosen,NA,NA,NA,NA
Mestra,Unknown nationality,NA,Black Ajah,Unknown Ajah,NA,NA,Dead,NA,1000 NE,NA,TOM:37,NA,Female,NA,NA,TOM:37,NA,NA,Aes Sedai,NA,NA,NA,NA
Metarra din Junalle,Atha'an Miere,NA,Atha'an Miere,NA,NA,NA,Alive,NA,NA,Big,TPOD:2,NA,Female,NA,NA,TPOD:5,COT:14,NA,Apprentice,NA,NA,NA,NA
Micara,Aiel,Wise One,Sevanna,NA,NA,Shaido,Alive,NA,NA,NA,ACOS:40,NA,Female,Red,NA,ACOS:40,NA,NA,NA,Unknown sept,NA,NA,NA
Miedelle Caeren,Andoran,NA,Andor,NA,NA,NA,Dead,NA,970 NE,NA,NA,COT:15,Female,NA,NA,NA,COT:15,NA,NA,NA,NA,Lady,NA
Miesa,Unknown nationality,Servant,NA,NA,NA,NA,Unknown,NA,NA,NA,LOC:30,NA,Female,NA,NA,LOC:30,KOD:23,NA,NA,NA,NA,NA,NA
Mika,Seanchan,Damane,Ever Victorious Army,NA,NA,NA,Dead,NA,1000 NE,NA,AMOL:37,NA,Female,NA,NA,AMOL:37,NA,NA,NA,NA,NA,NA,NA
Mikio Vadere,Kandori,NA,White Tower,Green Ajah,Plump,NA,Alive,907 NE,NA,Dark Brown,NA,The Wheel of Time Companion,Female,Black,NA,NA,NA,NA,Aes Sedai,NA,NA,NA,NA
Mili Skane,Andoran,NA,Darkfriend,NA,NA,NA,Alive,977 NE,NA,Brown,TEOTW:33,NA,Female,Brown,NA,KOD:33,TOM:24,NA,NA,NA,NA,NA,NA
Milis din Shalada Three Stars,Atha'an Miere,NA,Atha'an Miere,NA,NA,NA,Alive,NA,NA,NA,TOM:25,NA,Female,Black,NA,TOM:25,NA,NA,Sailmistress,NA,NA,NA,NA
Milisair Chadmar,Arad Doman,Merchant,Council of Merchants,NA,Curvy,NA,Alive,NA,NA,NA,TGS:29,NA,Female,"Dark, in tight curls, past her shoulders",NA,TGS:32,TOM:25,NA,NA,NA,NA,Lady,NA
Milla al'Azar,Andoran,Healer,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,LOC:Prologue,NA,Female,"Long, Braided",NA,LOC:Prologue,NA,NA,NA,NA,NA,Wisdom,NA
Milli Ayellin,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,NA,TSR:44,Female,NA,NA,NA,TSR:44,NA,NA,NA,NA,NA,NA
Millin,Unknown nationality,Farmer,NA,NA,NA,NA,Alive,NA,NA,NA,NA,COT:Prologue,Female,NA,NA,NA,COT:Prologue,NA,NA,NA,NA,NA,NA
Millis Fendry,Andoran,Innkeeper,NA,NA,NA,NA,Alive,NA,NA,NA,NA,COT:14,Female,NA,NA,NA,COT:14,NA,NA,NA,NA,NA,NA
Milsa,Far Madding,NA,NA,NA,NA,NA,Alive,NA,NA,NA,WH:32,NA,Female,NA,NA,WH:33,NA,NA,NA,NA,NA,NA,NA
Mirala,Borderlander,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TGS:Prologue,NA,Female,NA,NA,TGS:Prologue,NA,NA,NA,NA,NA,NA,NA
Mirane Larinen,Unknown nationality,NA,The Kin,NA,NA,NA,Dead,NA,1000 NE,NA,NA,KOD:17,Female,NA,NA,NA,KOD:17,NA,NA,NA,NA,NA,NA
Miren,Andoran,Seamstress,NA,NA,NA,NA,Alive,NA,NA,NA,NA,LOC:41,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miri,Seanchan,Damane,NA,NA,NA,NA,Dead,NA,1000 NE,NA,TGS:Prologue,NA,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mirlene Cornwell,Andoran,NA,Elaida a'Roihan's White Tower,Green Ajah,NA,NA,Dead,NA,1000 NE,NA,NA,The Wheel of Time Companion,Female,NA,NA,NA,NA,NA,Aes Sedai,NA,NA,NA,NA
Miselle,Mayener,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,Lady First,NA,NA,First of Mayene,NA
Mistress Ahan,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TSR:43,NA,Female,Black,NA,NA,TSR:43,NA,NA,NA,NA,NA,NA
Mistress al'Donel,Andoran,NA,Two Rivers,NA,NA,NA,Alive,NA,NA,NA,TEOTW:1,NA,Female,NA,NA,TEOTW:1,TOM:20,NA,NA,NA,NA,NA,NA
Mistress al'Taron,Andoran,NA,Two Rivers,NA,NA,NA,alive,NA,NA,NA,NA,TSR:43,Female,NA,NA,NA,TSR:43,NA,NA,NA,NA,NA,NA
Mistress Asher,Unknown nationality,NA,NA,NA,NA,NA,Alive,NA,NA,NA,NS 17,NA,Female,Gray,NA,NS 17,NA,NA,NA,NA,NA,NA,NA
Mistress Grinwell,Andoran,NA,NA,NA,NA,NA,Alive,NA,NA,NA,TEOTW:31,NA,Female,Yellow,NA,TEOTW:31,NA,NA,NA,NA,NA,NA,NA
Mistress Huldin,Andoran,Weaver,NA,NA,NA,NA,Alive,NA,NA,NA,LOC:3,LOC:3,Female,NA,NA,LOC:3,LOC:3,NA,NA,NA,NA,NA,NA
Mistress Tuval,Kandori,NA,Kandor,NA,NA,NA,Unknown,NA,NA,NA,NA,NS:22,Female,NA,NA,NA,NS:22,NA,NA,NA,NA,NA,NA
Mitsora Caal,Unknown nationality,NA,White Tower,Unknown Ajah,NA,NA,Dead,NA,NA,NA,NA,TWORJTWOT,Female,NA,NA,NA,TWORJTWOT,NA,Aes Sedai,NA,NA,NA,NA
Miyasi,Unknown nationality,NA,Black Ajah,White Ajah,Plump,NA,Alive,NA,NA,NA,KOD:24,NA,Female,Iron-gray,Tall,TGS:16,TGS:Epilogue,NA,Aes Sedai,NA,NA,NA,NA
Miyora,Unknown nationality,Entertainer,Valan Luca,NA,Plump,NA,NA,NA,NA,NA,COT:29,NA,Female,NA,NA,NA,KOD:11,NA,NA,NA,NA,NA,NA
Modarra,Aiel,Wise One,Sevanna,NA,Lean,Shaido,Alive,NA,NA,NA,ACOS:Prologue,NA,Female,NA,Tall,KOD:30,NA,NA,NA,Unknown sept,NA,NA,NA
Modrellein,Andoran,NA,Andor,NA,NA,NA,Dead,NA,NA,NA,NA,TDR:16,Female,NA,NA,NA,NA,NA,Queen of Andor,NA,NA,Queen,NA
Moghedien,NA,Damane,NA,NA,Sturdy,NA,Alive,Age of Legends,NA,"Large, dark",TSR:46 (TSR:38 as Gyldin),TSR:9,Female,"Shoulder length, dark",NA,AMOL:Epilogue,NA,NA,Chosen,NA,NA,NA,NA
Moilin,NA,Historian,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TDR:50,Female,NA,NA,NA,TDR:50,Ogier,NA,NA,NA,NA,NA
Moiraine Damodred,Cairhienin,NA,NA,Blue Ajah,NA,NA,Alive,956 NE,NA,"Large, Brown",NS:2,NA,Female,Brown,Short,AMOL:Epilogue,NA,NA,Aes Sedai,NA,NA,Lady,NA
Monaelle,Aiel,Wise One,Car'a'carn,NA,NA,Goshien,Alive,NA,NA,NA,WH:Prologue,NA,Female,"Red, hints of blond",Short,KOD:15,NA,NA,NA,Unknown sept,NA,NA,NA
Mora (Goshien),Aiel,Wise One,NA,NA,NA,Goshien,unknown,NA,NA,NA,NA,TOM:49,Female,NA,NA,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Mora,Aiel,Wise One,NA,NA,NA,Shaarad,Dead,NA,NA,NA,NA,LOC:15,Female,NA,NA,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Moradri,Mayener,NA,White Tower,Green Ajah,Long-limbed,NA,Alive,NA,NA,NA,TGS:41,NA,Female,NA,NA,TGS:41,NA,NA,Aes Sedai,NA,NA,NA,NA
Mordaine,Aiel,NA,NA,NA,NA,Jenn Aiel,Dead,NA,NA,"Green, deep-set",TSR:25,NA,Female,Graying,NA,TSR:25,NA,NA,NA,NA,NA,NA,NA
Mordrellen Mantear,Andoran,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,TFOH:19,Female,NA,NA,NA,COT:11,NA,Queen of Andor,NA,NA,Queen,NA
Morena,Aiel,Wise One,NA,NA,NA,Unknown clan,Alive,NA,NA,NA,NA,NA,Female,NA,NA,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Morgase Trakand,Andoran,NA,House Trakand,NA,NA,NA,Alive,957 NE,NA,Blue,TEOTW:40,NS:5,Female,Red-gold curls,"1 pace, 2 feet, 6 inches",AMOL:37,NA,NA,NA,NA,NA,Lady,NA
Mori,Aiel,NA,Perrin Aybara,NA,NA,Unknown clan,Alive,NA,NA,NA,TOM:4,NA,Female,NA,NA,TOM:4,NA,NA,NA,Unknown sept,Far Dareis Mai,NA,NA
Moria Elward,Unknown nationality,Farmer,NA,NA,NA,NA,Dead,NA,NA,NA,TSR:17,NA,Female,NA,NA,TSR:17,NA,NA,NA,NA,NA,NA,NA
Moria Karentanis,Illianer,Sitter,Black Ajah,Blue Ajah,NA,NA,Dead,840 NE,1000 NE,NA,TPOD:18,TPOD:16,Female,NA,NA,TGS:43,TGS:45,NA,Aes Sedai,NA,NA,NA,NA
Morin,Aiel,NA,NA,NA,NA,NA,Dead,NA,NA,NA,TSR:25,NA,Female,Yellow,NA,NA,NA,NA,NA,NA,Far Dareis Mai,NA,NA
Morrigan,Andoran,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,RPG,Female,NA,NA,NA,NA,NA,Queen,NA,NA,Queen of Andor,NA
Morsa,Seanchan,Lady,NA,NA,NA,NA,Alive,NA,NA,NA,TFOH:32,NA,Female,NA,Short,TFOH:32,NA,NA,NA,NA,NA,NA,NA
Morvrin Thakanos,Illianer,NA,White Tower,Brown Ajah,Stout and plump,NA,Alive,NA,NA,NA,TFOH:27,NA,Female,Graying,NA,TOM:37,NA,NA,Aes Sedai,NA,NA,NA,NA
Muelin,Unknown nationality,Entertainer,Valan Luca,NA,NA,NA,Alive,NA,NA,NA,TFOH:40,NA,Female,NA,NA,TFOH:40,NA,NA,NA,NA,NA,NA,NA
Mulaen,Seanchan,Sul'dam,NA,NA,NA,NA,Alive,NA,NA,NA,NA,TGH:42,Female,NA,NA,NA,TGH:42,NA,NA,NA,NA,NA,NA
Mulinda,Unknown nationality,Servant,Rebel Aes Sedai,NA,NA,NA,Alive,NA,NA,NA,LOC:14,LOC:14,Female,NA,NA,LOC:14,LOC:14,NA,NA,NA,NA,NA,NA
Musarin,Unknown nationality,NA,White Tower,Yellow Ajah,NA,NA,Alive,NA,NA,NA,TGS:6,NA,Female,White,Tall,TGS:6,NA,NA,Aes Sedai,NA,NA,NA,NA
Myrelle Berengari,Altaran,NA,White Tower,Green Ajah,NA,NA,Alive,954 NE,NA,"Dark, large",NS:3,NA,Female,Dark,NA,AMOL:31,NA,NA,Aes Sedai,NA,NA,NA,NA
Myriam Copan,Unknown nationality,NA,White Tower,Green Ajah,NA,NA,Dead,NA,797 NE,NA,NA,TWORJTWOT,Female,NA,NA,NA,TPOD:13,NA,Aes Sedai,NA,NA,Amyrlin Seat,NA
N'Delia Basolaine,Hol Cuchone,Historian,Hol Cuchone,NA,NA,NA,Dead,NA,NA,NA,NA,TFOH:Prologue,Female,NA,NA,NA,TFOH:Prologue,NA,First Maid,NA,NA,Swordfast,NA
Nacelle Kayama,Malkieri,NA,Black Ajah,Green Ajah,Slender,NA,Dead,855 NE,1000 NE,Blue,KOD:23,NA,Female,NA,Tall,KOD:23,TGS:39,NA,Aes Sedai,NA,NA,NA,NA
Nadere,Aiel,Wise One,Car'a'carn,NA,Wide,Goshien,Alive,NA,NA,Green,WH:Prologue,NA,Female,Pale,Tall,TGS:3,NA,NA,NA,Unknown sept,NA,NA,NA
Naean Arawn,Andoran,NA,Andor,NA,Slim,NA,Alive,NA,NA,"Blue, big",TFOH:19,NA,Female,Gleaming dark,NA,TOM:50,NA,NA,High Seat,NA,NA,Lady,NA
Naeise,Aiel,NA,Sevanna,NA,NA,Shaido,Dead,NA,1000 NE,NA,ACOS:40,NA,Female,NA,NA,NA,NA,NA,NA,Moshaine,Far Dareis Mai,NA,NA
Nagora,Cairhienin,NA,White Tower,White Ajah,Lean,NA,Alive,NA,NA,NA,KOD:24,NA,Female,"Pale, in a roll",Short,TGS:12,NA,NA,Aes Sedai,NA,NA,NA,NA
Naime din Malzar,Atha'an Miere,NA,Atha'an Miere,NA,NA,NA,Alive,NA,NA,NA,TPOD:5,NA,Female,NA,NA,TPOD:5,TPOD:28,NA,Windfinder,NA,NA,NA,NA
Naiselle,Altaran,Banker,NA,NA,NA,NA,Alive,NA,NA,NA,TPOD:6,NA,Female,NA,NA,TPOD:20,TPOD:20,NA,NA,NA,NA,NA,NA
Nakomi,Aiel,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,TOM:39,NA,Female,graying,NA,AMOL:Epilogue,AMOL:Prologue,NA,NA,NA,NA,NA,NA
Nalaene Forrell,Ghealdanin,NA,Black Ajah,Yellow Ajah,NA,NA,Unknown,NA,NA,NA,NA,TGS:39,Female,NA,NA,NA,TGS:39,NA,Aes Sedai,NA,NA,NA,NA
Nalasia Merhan,Unknown nationality,NA,White Tower,Brown Ajah,NA,NA,Alive,NA,NA,NA,TGS:Epilogue,NA,Female,NA,NA,TGS:Epilogue,NA,NA,Aes Sedai,NA,NA,NA,NA
Nalhera,Far Madding,Innkeeper,NA,NA,NA,NA,Alive,NA,NA,NA,WH:22,NA,Female,gray,NA,WH:2,NA,NA,NA,NA,NA,NA,NA
Nalla,Aiel,NA,NA,NA,NA,Da'shain Aiel,Dead,NA,NA,NA,NA,TSR:26,Female,NA,NA,NA,TSR:26,NA,NA,NA,NA,NA,NA
Namene,Domani,NA,White Tower,NA,Slim,NA,Alive,NA,NA,NA,KOD:24,NA,Female,NA,Tall,KOD:24,NA,NA,Novice,NA,NA,NA,NA
Namine Tasil,Domani,NA,White Tower,Brown Ajah,NA,NA,Alive,NA,NA,NA,NA,TGS:31,Female,NA,NA,NA,TGS:31,NA,Aes Sedai,NA,NA,NA,NA
Nan Belman,Andoran,NA,Darkfriend,NA,NA,NA,Alive,NA,NA,NA,LOC:28,NA,Female,NA,NA,LOC:28,NA,NA,NA,NA,NA,NA,NA
Nana,Mayener,Maid,NA,NA,NA,NA,Alive,NA,NA,NA,WH:5,NA,Female,NA,NA,COT:7,NA,NA,NA,NA,NA,NA,NA
Nandera,Aiel,NA,Car'a'carn,NA,Sinewy,Unknown clan,Alive,NA,NA,Green,LOC:21,NA,Female,Graying,Tall,TGS:37,NA,NA,NA,Unknown sept,Far Dareis Mai,NA,NA
Naorisa Cambral,Unknown nationality,NA,White Tower,Gray Ajah,NA,NA,Alive,NA,NA,NA,TGS:43,NA,Female,NA,NA,TGS:43,NA,NA,Aes Sedai,NA,NA,Sitter,NA
Narendhra,Aiel,Wise One,NA,NA,NA,Shaido,Alive,NA,NA,NA,NA,Wheel of Time Companion,Female,NA,NA,NA,NA,NA,NA,Unknown sept,NA,NA,NA
Narenwin Barda,Unknown nationality,NA,White Tower,Yellow Ajah,Thin,NA,Alive,913 NE,NA,NA,COT:Prologue,TFOH:10,Female,NA,Short,TGS:13,NA,NA,Aes Sedai,NA,NA,NA,NA
Nariene,Altaran,NA,NA,NA,NA,NA,Dead,NA,NA,NA,NA,ACOS:39,Female,NA,NA,NA,NA,NA,Queen,NA,NA,Queen of Altara,NA
